V1,V2,V3
-73.6902758393469,28.6292926829268,-4633
-73.6567266293401,28.6292926829268,-4640
-73.6231774193333,28.6292926829268,-4641
-73.5896282093265,28.6292926829268,-4627
-73.5560789993197,28.6292926829268,-4612
-73.5225297893129,28.6292926829268,-4597
-73.4889805793061,28.6292926829268,-4588
-73.4554313692993,28.6292926829268,-4586
-73.4218821592925,28.6292926829268,-4603
-73.3883329492857,28.6292926829268,-4620
-73.3547837392789,28.6292926829268,-4628
-73.3212345292721,28.6292926829268,-4645
-73.2876853192653,28.6292926829268,-4661
-73.2541361092585,28.6292926829268,-4664
-73.2205868992517,28.6292926829268,-4642
-73.1870376892449,28.6292926829268,-4621
-73.1534884792381,28.6292926829268,-4626
-73.1199392692313,28.6292926829268,-4642
-73.0863900592245,28.6292926829268,-4650
-73.0528408492177,28.6292926829268,-4643
-73.0192916392109,28.6292926829268,-4617
-72.9857424292041,28.6292926829268,-4589
-72.9521932191973,28.6292926829268,-4587
-72.9186440091905,28.6292926829268,-4607
-72.8850947991837,28.6292926829268,-4621
-72.8515455891769,28.6292926829268,-4621
-72.8179963791701,28.6292926829268,-4630
-72.7844471691633,28.6292926829268,-4640
-72.7508979591565,28.6292926829268,-4647
-72.7173487491497,28.6292926829268,-4648
-72.6837995391429,28.6292926829268,-4639
-72.650250329136,28.6292926829268,-4643
-72.6167011191292,28.6292926829268,-4670
-72.5831519091224,28.6292926829268,-4701
-72.5496026991156,28.6292926829268,-4720
-72.5160534891088,28.6292926829268,-4726
-72.482504279102,28.6292926829268,-4738
-72.4489550690952,28.6292926829268,-4743
-72.4154058590884,28.6292926829268,-4730
-72.3818566490816,28.6292926829268,-4703
-72.3483074390748,28.6292926829268,-4694
-72.314758229068,28.6292926829268,-4723
-72.2812090190612,28.6292926829268,-4778
-72.2476598090544,28.6292926829268,-4821
-72.2141105990476,28.6292926829268,-4836
-72.1805613890408,28.6292926829268,-4833
-72.147012179034,28.6292926829268,-4827
-72.1134629690272,28.6292926829268,-4839
-72.0799137590204,28.6292926829268,-4882
-72.0463645490136,28.6292926829268,-4919
-72.0128153390068,28.6292926829268,-4928
-71.979266129,28.6292926829268,-4906
-81.842733871,28.5955853658537,34
-81.8091846609932,28.5955853658537,35
-81.7756354509864,28.5955853658537,39
-81.7420862409796,28.5955853658537,56
-81.7085370309728,28.5955853658537,37
-81.674987820966,28.5955853658537,22
-81.6414386109592,28.5955853658537,17
-81.6078894009524,28.5955853658537,19
-81.5743401909456,28.5955853658537,36
-81.5407909809388,28.5955853658537,43
-81.507241770932,28.5955853658537,35
-81.4736925609252,28.5955853658537,33
-81.4401433509184,28.5955853658537,31
-81.4065941409116,28.5955853658537,33
-81.3730449309048,28.5955853658537,32
-81.339495720898,28.5955853658537,33
-81.3059465108911,28.5955853658537,29
-81.2723973008844,28.5955853658537,23
-81.2388480908775,28.5955853658537,23
-81.2052988808707,28.5955853658537,25
-81.1717496708639,28.5955853658537,20
-81.1382004608571,28.5955853658537,23
-81.1046512508503,28.5955853658537,23
-81.0711020408435,28.5955853658537,20
-81.0375528308367,28.5955853658537,14
-81.0040036208299,28.5955853658537,9
-80.9704544108231,28.5955853658537,3
-80.9369052008163,28.5955853658537,5
-80.9033559908095,28.5955853658537,6
-80.8698067808027,28.5955853658537,9
-80.8362575707959,28.5955853658537,9
-80.8027083607891,28.5955853658537,-2
-80.7691591507823,28.5955853658537,-1
-80.7356099407755,28.5955853658537,0
-80.7020607307687,28.5955853658537,2
-80.6685115207619,28.5955853658537,1
-80.6349623107551,28.5955853658537,0
-80.6014131007483,28.5955853658537,-4
-80.5678638907415,28.5955853658537,-7
-80.5343146807347,28.5955853658537,-8
-80.5007654707279,28.5955853658537,-13
-80.4672162607211,28.5955853658537,-15
-80.4336670507143,28.5955853658537,-13
-80.4001178407075,28.5955853658537,-14
-80.3665686307007,28.5955853658537,-17
-80.3330194206939,28.5955853658537,-23
-80.2994702106871,28.5955853658537,-30
-80.2659210006803,28.5955853658537,-34
-80.2323717906735,28.5955853658537,-39
-80.1988225806667,28.5955853658537,-44
-80.1652733706599,28.5955853658537,-49
-80.1317241606531,28.5955853658537,-57
-80.0981749506463,28.5955853658537,-68
-80.0646257406394,28.5955853658537,-77
-80.0310765306326,28.5955853658537,-102
-79.9975273206258,28.5955853658537,-150
-79.963978110619,28.5955853658537,-200
-79.9304289006122,28.5955853658537,-249
-79.8968796906054,28.5955853658537,-300
-79.8633304805986,28.5955853658537,-348
-79.8297812705918,28.5955853658537,-400
-79.796232060585,28.5955853658537,-458
-79.7626828505782,28.5955853658537,-495
-79.7291336405714,28.5955853658537,-558
-79.6955844305646,28.5955853658537,-649
-79.6620352205578,28.5955853658537,-734
-79.628486010551,28.5955853658537,-794
-79.5949368005442,28.5955853658537,-791
-79.5613875905374,28.5955853658537,-789
-79.5278383805306,28.5955853658537,-792
-79.4942891705238,28.5955853658537,-803
-79.460739960517,28.5955853658537,-816
-79.4271907505102,28.5955853658537,-820
-79.3936415405034,28.5955853658537,-826
-79.3600923304966,28.5955853658537,-821
-79.3265431204898,28.5955853658537,-820
-79.292993910483,28.5955853658537,-829
-79.2594447004762,28.5955853658537,-829
-79.2258954904694,28.5955853658537,-827
-79.1923462804626,28.5955853658537,-853
-79.1587970704558,28.5955853658537,-836
-79.125247860449,28.5955853658537,-828
-79.0916986504422,28.5955853658537,-833
-79.0581494404354,28.5955853658537,-839
-79.0246002304286,28.5955853658537,-832
-78.9910510204218,28.5955853658537,-832
-78.957501810415,28.5955853658537,-836
-78.9239526004082,28.5955853658537,-840
-78.8904033904014,28.5955853658537,-846
-78.8568541803945,28.5955853658537,-854
-78.8233049703878,28.5955853658537,-862
-78.7897557603809,28.5955853658537,-870
-78.7562065503741,28.5955853658537,-877
-78.7226573403673,28.5955853658537,-882
-78.6891081303605,28.5955853658537,-892
-78.6555589203537,28.5955853658537,-900
-78.6220097103469,28.5955853658537,-908
-78.5884605003401,28.5955853658537,-914
-78.5549112903333,28.5955853658537,-920
-78.5213620803265,28.5955853658537,-927
-78.4878128703197,28.5955853658537,-934
-78.4542636603129,28.5955853658537,-939
-78.4207144503061,28.5955853658537,-946
-78.3871652402993,28.5955853658537,-951
-78.3536160302925,28.5955853658537,-956
-78.3200668202857,28.5955853658537,-961
-78.2865176102789,28.5955853658537,-968
-78.2529684002721,28.5955853658537,-973
-78.2194191902653,28.5955853658537,-976
-78.1858699802585,28.5955853658537,-983
-78.1523207702517,28.5955853658537,-990
-78.1187715602449,28.5955853658537,-996
-78.0852223502381,28.5955853658537,-1001
-78.0516731402313,28.5955853658537,-1008
-78.0181239302245,28.5955853658537,-1011
-77.9845747202177,28.5955853658537,-1015
-77.9510255102109,28.5955853658537,-1020
-77.9174763002041,28.5955853658537,-1028
-77.8839270901973,28.5955853658537,-1032
-77.8503778801905,28.5955853658537,-1026
-77.8168286701837,28.5955853658537,-1020
-77.7832794601769,28.5955853658537,-1019
-77.7497302501701,28.5955853658537,-1020
-77.7161810401633,28.5955853658537,-1021
-77.6826318301565,28.5955853658537,-1021
-77.6490826201497,28.5955853658537,-1017
-77.6155334101428,28.5955853658537,-1006
-77.581984200136,28.5955853658537,-1001
-77.5484349901293,28.5955853658537,-1017
-77.5148857801224,28.5955853658537,-1037
-77.4813365701156,28.5955853658537,-1040
-77.4477873601088,28.5955853658537,-1024
-77.414238150102,28.5955853658537,-1011
-77.3806889400952,28.5955853658537,-1016
-77.3471397300884,28.5955853658537,-1035
-77.3135905200816,28.5955853658537,-1048
-77.2800413100748,28.5955853658537,-1051
-77.246492100068,28.5955853658537,-1049
-77.2129428900612,28.5955853658537,-1046
-77.1793936800544,28.5955853658537,-1044
-77.1458444700476,28.5955853658537,-1058
-77.1122952600408,28.5955853658537,-1066
-77.078746050034,28.5955853658537,-1071
-77.0451968400272,28.5955853658537,-1078
-77.0116476300204,28.5955853658537,-1088
-76.9780984200136,28.5955853658537,-1104
-76.9445492100068,28.5955853658537,-1117
-76.911,28.5955853658537,-1134
-76.8774507899932,28.5955853658537,-1159
-76.8439015799864,28.5955853658537,-1191
-76.8103523699796,28.5955853658537,-1234
-76.7768031599728,28.5955853658537,-1271
-76.743253949966,28.5955853658537,-1321
-76.7097047399592,28.5955853658537,-1856
-76.6761555299524,28.5955853658537,-3071
-76.6426063199456,28.5955853658537,-4528
